TITLE,Index,Name,ResPerSqrt,Thickness,Z-Layer,ResPerVia,Size,MinPitch
Metal,-2,PO,16,1000,3200,,,
Via,-1,CO,,,,20,0.09,0.14
Metal,0,METAL1,0.16,1800,5900,,,
Via,0,Via1,,,,1.5,0.1,0.13
Metal,1,METAL2,0.14,2200,9450,,,
Via,1,Via2,,,,1.5,0.1,0.13
Metal,2,METAL3,0.14,2200,13400,,,
Via,2,Via3,,,,1.5,0.1,0.13
Metal,3,METAL4,0.14,2200,17350,,,
Via,3,Via4,,,,1.5,0.1,0.13
Metal,4,METAL5,0.14,2200,21300,,,
Via,4,Via5,,,,1.5,0.1,0.13
Metal,5,METAL6,0.14,2200,25250,,,
Via,5,Via6,,,,1.5,0.1,0.13
Metal,6,METAL7,0.14,2200,29200,,,
Via,6,Via7,,,,0.22,0.36,0.54
Metal,7,METAL8,0.022,9000,37350,,,
Via,7,Via8,,,,0.37,0.36,0.54
Metal,8,METAL9,0.005,34000,53750,,,
Via,8,Via9,,,,0.041,3,3
Metal,9,METAL10,0.021,14500,95750,,,
